timestamp,source_file,elapsed_seconds,interval_operations,throughput_ops_per_second,average_latency_ms,p50_latency_ms,p90_latency_ms,p99_latency_ms,marked_outlier
2026-08-30T03:00:18.880000+00:00,run_10_continuous.log,530,37828,3782.21,2.63355,2.319,4.111,7.531,False
2026-08-30T03:00:28.886000+00:00,run_10_continuous.log,540,36225,3621.0,2.75275,2.253,3.829,8.815,False
2026-08-30T03:00:38.883000+00:00,run_10_continuous.log,550,33453,3348.8,2.9757800000000003,2.297,4.235,14.727,False
2026-08-30T03:00:48.886000+00:00,run_10_continuous.log,560,40767,4074.2,2.44556,2.201,3.717,6.339,False
2026-08-30T03:00:58.882000+00:00,run_10_continuous.log,570,37320,3732.43,2.66947,2.195,3.747,8.087,False
2026-08-30T03:01:08.881000+00:00,run_10_continuous.log,580,33352,3335.6,2.9846399999999997,2.271,4.199,18.255,False
2026-08-30T03:01:18.881000+00:00,run_10_continuous.log,590,41129,4113.7,2.42173,2.167,3.677,6.607,False
2026-08-30T03:01:28.881000+00:00,run_10_continuous.log,600,36409,3640.2,2.73704,2.213,3.807,9.343,False
2026-08-30T03:01:38.886000+00:00,run_10_continuous.log,610,32684,3268.83,3.04836,2.325,4.459,16.311,False
2026-08-30T03:01:48.884000+00:00,run_10_continuous.log,620,40701,4070.79,2.4465,2.203,3.713,6.367,False
2026-08-30T03:01:58.884000+00:00,run_10_continuous.log,630,36852,3684.56,2.70191,2.211,3.795,8.759,False
2026-08-30T03:02:08.884000+00:00,run_10_continuous.log,640,32403,3238.98,3.076,2.335,4.527,16.671,False
2026-08-30T03:02:18.882000+00:00,run_10_continuous.log,650,39541,3956.18,2.51677,2.249,3.859,6.803,False
2026-08-30T03:02:28.881000+00:00,run_10_continuous.log,660,35750,3575.1,2.78725,2.249,3.927,10.359,False
2026-08-30T03:02:38.881000+00:00,run_10_continuous.log,670,34539,3453.2,2.8847899999999997,2.253,4.199,14.887,False
2026-08-30T03:02:48.881000+00:00,run_10_continuous.log,680,41853,4184.4,2.3807600000000004,2.133,3.577,6.399,False
2026-08-30T03:02:58.881000+00:00,run_10_continuous.log,690,37213,3722.83,2.67617,2.171,3.705,8.463,False
2026-08-30T03:03:08.883000+00:00,run_10_continuous.log,700,33660,3363.83,2.96006,2.319,4.439,15.167,False
2026-08-30T03:03:18.881000+00:00,run_10_continuous.log,710,37005,3703.21,2.69248,2.127,3.699,17.503,False
2026-08-30T03:03:28.881000+00:00,run_10_continuous.log,720,22671,2266.3,4.40269,2.133,4.275,59.967,False
2026-08-30T03:03:38.883000+00:00,run_10_continuous.log,730,28310,2830.3,3.52108,2.271,4.567,38.015,False
2026-08-30T03:03:48.880000+00:00,run_10_continuous.log,740,36001,3601.6,2.7666399999999998,2.145,3.639,7.567,False
2026-08-30T03:03:58.880000+00:00,run_10_continuous.log,750,29297,2929.7,3.40119,2.123,4.003,37.375,False
2026-08-30T03:04:08.882000+00:00,run_10_continuous.log,760,29597,2959.2,3.3763400000000003,2.291,4.631,32.639,False
2026-08-30T03:04:18.880000+00:00,run_10_continuous.log,770,37313,3730.0,2.67127,2.127,3.711,18.639,False
2026-08-30T03:04:28.880000+00:00,run_10_continuous.log,780,30886,3089.7,3.2295,2.115,3.989,34.175,False
2026-08-30T03:04:38.883000+00:00,run_10_continuous.log,790,28230,2820.82,3.5342399999999996,2.275,4.811,35.263,False
2026-08-30T03:04:48.883000+00:00,run_10_continuous.log,800,37344,3736.27,2.66844,2.121,3.681,19.359,False
2026-08-30T03:04:58.881000+00:00,run_10_continuous.log,810,32688,3268.7,3.0507199999999997,2.129,3.957,29.087,False
2026-08-30T03:05:08.881000+00:00,run_10_continuous.log,820,28010,2801.52,3.56075,2.279,4.835,35.807,False
2026-08-30T03:05:18.882000+00:00,run_10_continuous.log,830,37265,3726.77,2.67597,2.149,3.659,18.127,False
2026-08-30T03:05:28.883000+00:00,run_10_continuous.log,840,33014,3299.8,3.02168,2.137,3.805,30.911,False
