bin_start_utc,bin_end_utc,offered_ops_per_sec,completed_ops_per_sec,latency_mean_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms
2026-08-30T21:52:47.132632+00:00,2026-08-30T21:52:57.132632+00:00,500.0,499.9,3.6231206,1.743,10.851200000000013,52.98501,97.098
2026-08-30T21:52:57.132632+00:00,2026-08-30T21:53:07.132632+00:00,500.0,500.0,1.9792187999999997,1.5205,3.066,9.082900000000107,35.541
2026-08-30T21:53:07.132632+00:00,2026-08-30T21:53:17.132632+00:00,500.0,500.1,6.103661399999999,1.7715,12.840150000000001,161.15545000000043,222.464
2026-08-30T21:53:17.132632+00:00,2026-08-30T21:53:27.132632+00:00,500.0,500.0,3.8177042,1.6245,5.992900000000014,75.53247000000057,149.307
2026-08-30T21:53:27.132632+00:00,2026-08-30T21:53:37.132632+00:00,500.0,500.0,3.022251,1.597,4.723200000000005,47.06476000000028,191.206
2026-08-30T21:53:37.132632+00:00,2026-08-30T21:53:47.132632+00:00,500.0,500.0,7.8342402,1.713,31.18545,144.63804000000013,280.75
2026-08-30T21:53:47.132632+00:00,2026-08-30T21:53:57.132632+00:00,500.0,500.0,3.9966446,1.636,11.951150000000004,71.78001,104.288
2026-08-30T21:53:57.132632+00:00,2026-08-30T21:54:07.132632+00:00,499.9,499.9,2.128963792758552,1.51,3.112199999999999,15.504099999999855,48.377
2026-08-30T21:54:07.132632+00:00,2026-08-30T21:54:17.132632+00:00,500.1,500.1,4.818876824635073,1.687,10.515,105.7,177.607
2026-08-30T21:54:17.132632+00:00,2026-08-30T21:54:27.132632+00:00,500.0,500.0,3.14033,1.587,9.308450000000002,35.85249000000016,72.357
2026-08-30T21:54:27.132632+00:00,2026-08-30T21:54:37.132632+00:00,500.0,500.0,1.9833334000000002,1.52,2.9311500000000006,10.300480000000032,47.793
2026-08-30T21:54:37.132632+00:00,2026-08-30T21:54:47.132632+00:00,500.0,500.0,6.082262400000001,1.649,13.638200000000001,154.3361900000001,232.236
2026-08-30T21:54:47.132632+00:00,2026-08-30T21:54:57.132632+00:00,500.0,499.9,3.2263851999999997,1.6315,5.5600499999999995,57.194820000000036,85.666
2026-08-30T21:54:57.132632+00:00,2026-08-30T21:55:07.132632+00:00,500.0,500.1,2.1240189999999997,1.672,3.2707000000000024,10.690930000000042,43.968
2026-08-30T21:55:07.132632+00:00,2026-08-30T21:55:17.132632+00:00,500.0,500.0,4.1609928,1.7465000000000002,5.008950000000003,63.34644000000003,190.413
2026-08-30T21:55:17.132632+00:00,2026-08-30T21:55:27.132632+00:00,500.0,500.0,2.9540968,1.809,4.9361500000000005,35.00406,83.361
2026-08-30T21:55:27.132632+00:00,2026-08-30T21:55:37.132632+00:00,500.0,500.0,2.1799438,1.743,3.2131000000000003,10.158000000000023,42.543
2026-08-30T21:55:37.132632+00:00,2026-08-30T21:55:47.132632+00:00,500.0,499.9,6.514708000000001,1.9,18.967650000000024,104.38698000000002,271.016
2026-08-30T21:55:47.132632+00:00,2026-08-30T21:55:57.132632+00:00,500.0,500.1,3.3262680000000002,1.8125,6.4894500000000015,43.39036000000046,125.72
