LAST SEEN   TYPE      REASON                   OBJECT                                                           MESSAGE
29m         Normal    ProvisioningSucceeded    persistentvolumeclaim/datadir-my-mongodb-sharded-shard1-data-0   Successfully provisioned volume pvc-ff87f630-8f7a-4a70-8a22-c7317510316a
29m         Normal    Scheduled                pod/my-mongodb-sharded-shard1-data-0                             Successfully assigned mambo-mongod-cpu/my-mongodb-sharded-shard1-data-0 to i-0c4d45abf9869abf0
29m         Normal    SuccessfulAttachVolume   pod/my-mongodb-sharded-shard1-data-0                             AttachVolume.Attach succeeded for volume "pvc-ff87f630-8f7a-4a70-8a22-c7317510316a"
29m         Normal    Created                  pod/my-mongodb-sharded-shard1-data-0                             Created container: mongodb
29m         Normal    Started                  pod/my-mongodb-sharded-shard1-data-0                             Started container mongodb
29m         Normal    Pulled                   pod/my-mongodb-sharded-shard1-data-0                             Container image "docker.io/bitnamilegacy/mongodb-sharded:8.0.13-debian-12-r0" already present on machine
29m         Normal    SuccessfulCreate         job/addshard-my-mongodb-sharded-shard-1                          Created pod: addshard-my-mongodb-sharded-shard-1-c2mtd
29m         Normal    Scheduled                pod/addshard-my-mongodb-sharded-shard-1-c2mtd                    Successfully assigned mambo-mongod-cpu/addshard-my-mongodb-sharded-shard-1-c2mtd to i-0f4a2ec2693d23bd5
29m         Normal    Pulled                   pod/addshard-my-mongodb-sharded-shard-1-c2mtd                    Container image "mongo:6.0" already present on machine
29m         Normal    Created                  pod/addshard-my-mongodb-sharded-shard-1-c2mtd                    Created container: addshard
29m         Normal    Started                  pod/addshard-my-mongodb-sharded-shard-1-c2mtd                    Started container addshard
28m         Normal    Completed                job/addshard-my-mongodb-sharded-shard-1                          Job completed
28m         Warning   Unhealthy                pod/my-mongodb-sharded-shard1-data-0                             Readiness probe failed: MongoNetworkError: connect ECONNREFUSED 127.0.0.1:27017
