timestamp,source_file,elapsed_seconds,interval_operations,throughput_ops_per_second,average_latency_ms,p50_latency_ms,p90_latency_ms,p99_latency_ms,marked_outlier
2026-08-30T05:37:14.754000+00:00,run_10_continuous.log,10,17495,1746.38,5.13599,3.035,7.535,32.591,False
2026-08-30T05:37:24.749000+00:00,run_10_continuous.log,20,29856,2989.1,3.3076399999999997,2.573,4.707,20.703,False
2026-08-30T05:37:34.749000+00:00,run_10_continuous.log,30,30042,3004.2,3.31219,1.966,3.317,42.175,False
2026-08-30T05:37:44.749000+00:00,run_10_continuous.log,40,26874,2687.4,3.7017800000000003,2.039,4.131,42.271,False
2026-08-30T05:37:54.749000+00:00,run_10_continuous.log,50,30202,3020.2,3.30212,1.959,3.519,40.735,False
2026-08-30T05:38:04.749000+00:00,run_10_continuous.log,60,30221,3022.1,3.2988000000000004,1.945,3.413,40.799,False
2026-08-30T05:38:14.749000+00:00,run_10_continuous.log,70,26713,2671.3,3.7375,2.049,4.243,38.879,False
2026-08-30T05:38:24.749000+00:00,run_10_continuous.log,80,30096,3009.6,3.31379,1.955,3.455,38.367,False
2026-08-30T05:38:34.749000+00:00,run_10_continuous.log,90,29841,2984.1,3.3446599999999997,1.914,3.229,41.919,False
2026-08-30T05:38:44.749000+00:00,run_10_continuous.log,100,26949,2694.9,3.70354,2.038,4.199,39.039,False
2026-08-30T05:38:54.749000+00:00,run_10_continuous.log,110,30002,3000.2,3.32884,1.963,3.593,39.007,False
2026-08-30T05:39:04.749000+00:00,run_10_continuous.log,120,30176,3017.6,3.3079699999999996,1.918,3.159,44.095,False
2026-08-30T05:39:14.749000+00:00,run_10_continuous.log,130,27227,2722.7,3.66572,2.032,4.037,39.327,False
2026-08-30T05:39:24.749000+00:00,run_10_continuous.log,140,29909,2990.9,3.33466,1.961,3.423,41.983,False
2026-08-30T05:39:34.749000+00:00,run_10_continuous.log,150,30329,3032.9,3.29119,1.928,3.433,40.351,False
2026-08-30T05:39:44.749000+00:00,run_10_continuous.log,160,26790,2679.0,3.72167,2.001,3.697,43.487,False
2026-08-30T05:39:54.749000+00:00,run_10_continuous.log,170,29815,2981.5,3.34406,1.956,3.687,39.775,False
2026-08-30T05:40:04.749000+00:00,run_10_continuous.log,180,27844,2784.4,3.58404,1.946,3.561,42.591,False
2026-08-30T05:40:14.749000+00:00,run_10_continuous.log,190,19293,1929.3,5.175890000000001,2.143,6.071,60.095,False
2026-08-30T05:40:24.749000+00:00,run_10_continuous.log,200,23619,2361.9,4.23351,2.022,4.471,50.463,False
2026-08-30T05:40:34.749000+00:00,run_10_continuous.log,210,24932,2493.2,4.0001,1.95,3.675,51.807,False
2026-08-30T05:40:44.750000+00:00,run_10_continuous.log,220,20982,2097.79,4.77232,2.107,6.467,55.551,False
2026-08-30T05:40:54.749000+00:00,run_10_continuous.log,230,27361,2736.57,3.63567,1.947,3.721,47.167,False
2026-08-30T05:41:04.750000+00:00,run_10_continuous.log,240,28459,2845.9,3.52023,1.909,3.475,45.759,False
2026-08-30T05:41:14.754000+00:00,run_10_continuous.log,250,40832,4081.69,2.4389499999999997,1.927,3.259,12.079,False
2026-08-30T05:41:24.749000+00:00,run_10_continuous.log,260,46934,4693.2,2.12397,1.842,3.045,7.643,False
2026-08-30T05:41:34.749000+00:00,run_10_continuous.log,270,45507,4550.5,2.19164,1.822,2.941,9.159,False
2026-08-30T05:41:44.750000+00:00,run_10_continuous.log,280,40910,4091.3,2.43567,1.922,3.231,10.119,False
2026-08-30T05:41:54.749000+00:00,run_10_continuous.log,290,46553,4655.17,2.14169,1.833,3.071,7.831,False
2026-08-30T05:42:04.749000+00:00,run_10_continuous.log,300,45777,4578.7,2.1783699999999997,1.813,2.943,9.871,False
2026-08-30T05:42:14.749000+00:00,run_10_continuous.log,310,40122,4011.2,2.48318,1.933,3.353,11.335,False
2026-08-30T05:42:24.751000+00:00,run_10_continuous.log,320,46267,4626.04,2.15466,1.825,3.087,8.679,False
2026-08-30T05:42:34.749000+00:00,run_10_continuous.log,330,46084,4610.76,2.1624499999999998,1.811,2.949,8.799,False
2026-08-30T05:42:44.750000+00:00,run_10_continuous.log,340,40930,4091.79,2.4336599999999997,1.937,3.299,9.031,False
2026-08-30T05:42:54.749000+00:00,run_10_continuous.log,350,46759,4676.8,2.1321,1.836,3.079,7.895,False
2026-08-30T05:43:04.749000+00:00,run_10_continuous.log,360,46208,4620.3,2.15811,1.795,2.901,8.959,False
2026-08-30T05:43:14.751000+00:00,run_10_continuous.log,370,40831,4083.2,2.44142,1.9,3.299,11.079,False
2026-08-30T05:43:24.749000+00:00,run_10_continuous.log,380,46854,4685.5,2.1278200000000003,1.818,3.051,7.807,False
2026-08-30T05:43:34.749000+00:00,run_10_continuous.log,390,45898,4590.56,2.17186,1.79,2.923,9.191,False
2026-08-30T05:43:44.749000+00:00,run_10_continuous.log,400,40724,4071.99,2.44852,1.9,3.265,10.119,False
2026-08-30T05:43:54.749000+00:00,run_10_continuous.log,410,47143,4714.3,2.1133,1.835,3.047,7.631,False
2026-08-30T05:44:04.749000+00:00,run_10_continuous.log,420,45998,4600.26,2.16956,1.784,2.905,10.007,False
2026-08-30T05:44:14.749000+00:00,run_10_continuous.log,430,40558,4055.29,2.4584099999999998,1.906,3.311,10.759,False
2026-08-30T05:44:24.750000+00:00,run_10_continuous.log,440,46641,4662.9,2.139,1.822,3.109,7.791,False
2026-08-30T05:44:34.750000+00:00,run_10_continuous.log,450,46310,4632.66,2.15231,1.786,2.913,8.551,False
2026-08-30T05:44:44.751000+00:00,run_10_continuous.log,460,41305,4129.07,2.41404,1.878,3.249,12.311,False
2026-08-30T05:44:54.749000+00:00,run_10_continuous.log,470,47440,4745.55,2.1009,1.801,3.039,7.175,False
2026-08-30T05:45:04.750000+00:00,run_10_continuous.log,480,46131,4611.18,2.1624,1.798,2.941,8.383,False
2026-08-30T05:45:14.749000+00:00,run_10_continuous.log,490,40961,4098.02,2.4288000000000003,1.894,3.205,12.839,False
2026-08-30T05:45:24.750000+00:00,run_10_continuous.log,500,46144,4612.94,2.16229,1.832,3.113,7.963,False
2026-08-30T05:45:34.749000+00:00,run_10_continuous.log,510,46349,4635.5,2.1511799999999996,1.804,2.925,8.543,False
2026-08-30T05:45:44.751000+00:00,run_10_continuous.log,520,40785,4078.4,2.43779,1.913,3.369,10.783,False
2026-08-30T05:45:54.750000+00:00,run_10_continuous.log,530,46815,4681.3,2.12914,1.853,3.147,6.839,False
2026-08-30T05:46:04.751000+00:00,run_10_continuous.log,540,46357,4635.7,2.15126,1.78,2.933,8.615,False
2026-08-30T05:46:14.752000+00:00,run_10_continuous.log,550,41693,4169.9,2.3905700000000003,1.88,3.273,10.351,False
2026-08-30T05:46:24.750000+00:00,run_10_continuous.log,560,47299,4729.4,2.10837,1.803,3.027,7.791,False
2026-08-30T05:46:34.751000+00:00,run_10_continuous.log,570,46812,4681.13,2.13014,1.766,2.879,9.503,False
2026-08-30T05:46:44.749000+00:00,run_10_continuous.log,580,41319,4132.41,2.41077,1.862,3.213,12.143,False
2026-08-30T05:46:54.749000+00:00,run_10_continuous.log,590,47625,4761.0,2.09484,1.802,3.003,7.603,False
2026-08-30T05:47:04.749000+00:00,run_10_continuous.log,600,46650,4664.4,2.1382600000000003,1.774,2.895,9.255,False
2026-08-30T05:47:14.752000+00:00,run_10_continuous.log,610,41540,4156.32,2.3970599999999997,1.874,3.157,10.447,False
2026-08-30T05:47:24.749000+00:00,run_10_continuous.log,620,47011,4700.23,2.12045,1.799,3.009,7.919,False
2026-08-30T05:47:34.749000+00:00,run_10_continuous.log,630,46535,4652.6,2.14344,1.782,2.921,9.455,False
2026-08-30T05:47:44.749000+00:00,run_10_continuous.log,640,40893,4090.9,2.4372399999999996,1.884,3.221,13.831,False
